,degree,count
0,31,2
1,32,5
2,33,5
3,34,7
4,35,4
5,36,1
6,37,5
7,38,7
8,39,7
9,40,5
10,41,6
11,42,3
12,43,4
13,44,1
14,45,4
15,46,4
16,47,8
17,48,5
18,49,3
19,50,6
20,51,3
21,52,8
22,53,6
23,54,6
24,55,4
25,56,6
26,57,5
27,58,7
28,59,6
29,60,3
30,61,9
31,62,6
32,63,1
33,64,4
34,65,7
35,66,6
36,67,4
37,68,3
38,69,7
39,70,4
40,71,3
41,72,3
42,73,1
43,74,9
44,75,7
45,76,5
46,77,5
47,78,5
48,79,2
49,80,6
50,81,5
51,82,7
52,83,6
53,84,6
54,85,3
55,86,8
56,87,6
57,88,6
58,89,3
59,90,4
60,91,3
61,92,4
62,93,4
63,94,4
64,95,4
65,96,6
66,97,9
67,98,3
68,99,6
69,100,5
70,101,4
71,102,4
72,103,4
73,104,7
74,105,4
75,106,4
76,107,4
77,108,6
78,109,6
79,110,9
80,111,7
81,112,2
82,113,4
83,114,2
84,115,9
85,116,5
86,117,5
87,118,2
88,119,7
89,120,12
90,121,4
91,122,4
92,123,3
93,124,3
94,125,3
95,126,2
96,127,2
97,128,4
98,129,9
99,130,3
100,131,6
101,132,6
102,133,6
103,134,6
104,135,7
105,136,6
106,137,6
107,138,5
108,139,2
109,140,10
110,141,4
111,142,3
112,143,4
113,144,4
114,145,3
115,146,9
116,147,6
117,148,4
118,149,3
119,150,5
120,151,5
121,152,6
122,153,2
123,154,11
124,156,4
125,157,5
126,158,4
127,159,3
128,160,7
129,161,7
130,162,10
131,163,4
132,164,9
133,165,5
134,166,7
135,167,3
136,168,5
137,169,3
138,170,9
139,171,4
140,172,5
141,173,6
142,174,8
143,175,3
144,176,5
145,177,4
146,178,2
147,179,5
148,180,6
149,181,2
150,182,6
151,183,7
152,184,4
153,185,1
154,186,4
155,187,2
156,188,3
157,189,2
158,190,4
159,191,3
160,192,2
161,193,3
162,194,1
163,195,2
164,196,4
165,197,2
166,198,6
167,199,1
168,200,2
169,201,2
170,1,5
171,202,4
172,2,4
173,3,6
174,4,3
175,204,4
176,5,8
177,205,1
178,206,1
179,6,2
180,7,6
181,8,6
182,208,3
183,9,8
184,10,5
185,210,4
186,11,3
187,211,2
188,12,2
189,212,3
190,13,4
191,14,4
192,214,1
193,15,11
194,16,5
195,17,8
196,217,2
197,18,3
198,19,3
199,219,2
200,20,1
201,21,4
202,22,8
203,23,5
204,24,6
205,26,7
206,27,3
207,28,10
208,29,8
209,30,5
